customer_id,customer_name,customer_email,registration_date
1,Customer 1,customer1@example.com,2026-03-01 00:00:00
2,Customer 2,customer2@example.com,2026-03-01 00:08:47
3,Customer 3,customer3@example.com,2026-03-01 00:17:34
4,Customer 4,customer4@example.com,2026-03-01 00:26:21
5,Customer 5,customer5@example.com,2026-03-01 00:35:08
6,Customer 6,customer6@example.com,2026-03-01 00:43:55
7,Customer 7,customer7@example.com,2026-03-01 00:52:42
8,Customer 8,customer8@example.com,2026-03-01 01:01:29
9,Customer 9,customer9@example.com,2026-03-01 01:10:16
10,Customer 10,customer10@example.com,2026-03-01 01:19:03
11,Customer 11,customer11@example.com,2026-03-01 01:27:50
12,Customer 12,customer12@example.com,2026-03-01 01:36:38
13,Customer 13,customer13@example.com,2026-03-01 01:45:25
14,Customer 14,customer14@example.com,2026-03-01 01:54:12
15,Customer 15,customer15@example.com,2026-03-01 02:02:59
16,Customer 16,customer16@example.com,2026-03-01 02:11:46
17,Customer 17,customer17@example.com,2026-03-01 02:20:33
18,Customer 18,customer18@example.com,2026-03-01 02:29:20
19,Customer 19,customer19@example.com,2026-03-01 02:38:07
20,Customer 20,customer20@example.com,2026-03-01 02:46:54
21,Customer 21,customer21@example.com,2026-03-01 02:55:41
22,Customer 22,customer22@example.com,2026-03-01 03:04:28
23,Customer 23,customer23@example.com,2026-03-01 03:13:16
24,Customer 24,customer24@example.com,2026-03-01 03:22:03
25,Customer 25,customer25@example.com,2026-03-01 03:30:50
26,Customer 26,customer26@example.com,2026-03-01 03:39:37
27,Customer 27,customer27@example.com,2026-03-01 03:48:24
28,Customer 28,customer28@example.com,2026-03-01 03:57:11
29,Customer 29,customer29@example.com,2026-03-01 04:05:58
30,Customer 30,customer30@example.com,2026-03-01 04:14:45
31,Customer 31,customer31@example.com,2026-03-01 04:23:32
32,Customer 32,customer32@example.com,2026-03-01 04:32:19
33,Customer 33,customer33@example.com,2026-03-01 04:41:06
34,Customer 34,customer34@example.com,2026-03-01 04:49:54
35,Customer 35,customer35@example.com,2026-03-01 04:58:41
36,Customer 36,customer36@example.com,2026-03-01 05:07:28
37,Customer 37,customer37@example.com,2026-03-01 05:16:15
38,Customer 38,customer38@example.com,2026-03-01 05:25:02
39,Customer 39,customer39@example.com,2026-03-01 05:33:49
40,Customer 40,customer40@example.com,2026-03-01 05:42:36
41,Customer 41,customer41@example.com,2026-03-01 05:51:23
42,Customer 42,customer42@example.com,2026-03-01 06:00:10
43,Customer 43,customer43@example.com,2026-03-01 06:08:57
44,Customer 44,customer44@example.com,2026-03-01 06:17:44
45,Customer 45,customer45@example.com,2026-03-01 06:26:32
46,Customer 46,customer46@example.com,2026-03-01 06:35:19
47,Customer 47,customer47@example.com,2026-03-01 06:44:06
48,Customer 48,customer48@example.com,2026-03-01 06:52:53
49,Customer 49,customer49@example.com,2026-03-01 07:01:40
50,Customer 50,customer50@example.com,2026-03-01 07:10:27
51,Customer 51,customer51@example.com,2026-03-01 07:19:14
52,Customer 52,customer52@example.com,2026-03-01 07:28:01
53,Customer 53,customer53@example.com,2026-03-01 07:36:48
54,Customer 54,customer54@example.com,2026-03-01 07:45:35
55,Customer 55,customer55@example.com,2026-03-01 07:54:23
56,Customer 56,customer56@example.com,2026-03-01 08:03:10
57,Customer 57,customer57@example.com,2026-03-01 08:11:57
58,Customer 58,customer58@example.com,2026-03-01 08:20:44
59,Customer 59,customer59@example.com,2026-03-01 08:29:31
60,Customer 60,customer60@example.com,2026-03-01 08:38:18
61,Customer 61,customer61@example.com,2026-03-01 08:47:05
62,Customer 62,customer62@example.com,2026-03-01 08:55:52
63,Customer 63,customer63@example.com,2026-03-01 09:04:39
64,Customer 64,customer64@example.com,2026-03-01 09:13:26
65,Customer 65,customer65@example.com,2026-03-01 09:22:13
66,Customer 66,customer66@example.com,2026-03-01 09:31:01
67,Customer 67,customer67@example.com,2026-03-01 09:39:48
68,Customer 68,customer68@example.com,2026-03-01 09:48:35
69,Customer 69,customer69@example.com,2026-03-01 09:57:22
70,Customer 70,customer70@example.com,2026-03-01 10:06:09
71,Customer 71,customer71@example.com,2026-03-01 10:14:56
72,Customer 72,customer72@example.com,2026-03-01 10:23:43
73,Customer 73,customer73@example.com,2026-03-01 10:32:30
74,Customer 74,customer74@example.com,2026-03-01 10:41:17
75,Customer 75,customer75@example.com,2026-03-01 10:50:04
76,Customer 76,customer76@example.com,2026-03-01 10:58:51
77,Customer 77,customer77@example.com,2026-03-01 11:07:39
78,Customer 78,customer78@example.com,2026-03-01 11:16:26
79,Customer 79,customer79@example.com,2026-03-01 11:25:13
80,Customer 80,customer80@example.com,2026-03-01 11:34:00
81,Customer 81,customer81@example.com,2026-03-01 11:42:47
82,Customer 82,customer82@example.com,2026-03-01 11:51:34
83,Customer 83,customer83@example.com,2026-03-01 12:00:21
84,Customer 84,customer84@example.com,2026-03-01 12:09:08
85,Customer 85,customer85@example.com,2026-03-01 12:17:55
86,Customer 86,customer86@example.com,2026-03-01 12:26:42
87,Customer 87,customer87@example.com,2026-03-01 12:35:29
88,Customer 88,customer88@example.com,2026-03-01 12:44:17
89,Customer 89,customer89@example.com,2026-03-01 12:53:04
90,Customer 90,customer90@example.com,2026-03-01 13:01:51
91,Customer 91,customer91@example.com,2026-03-01 13:10:38
92,Customer 92,customer92@example.com,2026-03-01 13:19:25
93,Customer 93,customer93@example.com,2026-03-01 13:28:12
94,Customer 94,customer94@example.com,2026-03-01 13:36:59
95,Customer 95,customer95@example.com,2026-03-01 13:45:46
96,Customer 96,customer96@example.com,2026-03-01 13:54:33
97,Customer 97,customer97@example.com,2026-03-01 14:03:20
98,Customer 98,customer98@example.com,2026-03-01 14:12:07
99,Customer 99,customer99@example.com,2026-03-01 14:20:55
100,Customer 100,customer100@example.com,2026-03-01 14:29:42
101,Customer 101,customer101@example.com,2026-03-01 14:38:29
102,Customer 102,customer102@example.com,2026-03-01 14:47:16
103,Customer 103,customer103@example.com,2026-03-01 14:56:03
104,Customer 104,customer104@example.com,2026-03-01 15:04:50
105,Customer 105,customer105@example.com,2026-03-01 15:13:37
106,Customer 106,customer106@example.com,2026-03-01 15:22:24
107,Customer 107,customer107@example.com,2026-03-01 15:31:11
108,Customer 108,customer108@example.com,2026-03-01 15:39:58
109,Customer 109,customer109@example.com,2026-03-01 15:48:46
110,Customer 110,customer110@example.com,2026-03-01 15:57:33
111,Customer 111,customer111@example.com,2026-03-01 16:06:20
112,Customer 112,customer112@example.com,2026-03-01 16:15:07
113,Customer 113,customer113@example.com,2026-03-01 16:23:54
114,Customer 114,customer114@example.com,2026-03-01 16:32:41
115,Customer 115,customer115@example.com,2026-03-01 16:41:28
116,Customer 116,customer116@example.com,2026-03-01 16:50:15
117,Customer 117,customer117@example.com,2026-03-01 16:59:02
118,Customer 118,customer118@example.com,2026-03-01 17:07:49
119,Customer 119,customer119@example.com,2026-03-01 17:16:36
120,Customer 120,customer120@example.com,2026-03-01 17:25:24
121,Customer 121,customer121@example.com,2026-03-01 17:34:11
122,Customer 122,customer122@example.com,2026-03-01 17:42:58
123,Customer 123,customer123@example.com,2026-03-01 17:51:45
124,Customer 124,customer124@example.com,2026-03-01 18:00:32
125,Customer 125,customer125@example.com,2026-03-01 18:09:19
126,Customer 126,customer126@example.com,2026-03-01 18:18:06
127,Customer 127,customer127@example.com,2026-03-01 18:26:53
128,Customer 128,customer128@example.com,2026-03-01 18:35:40
129,Customer 129,customer129@example.com,2026-03-01 18:44:27
130,Customer 130,customer130@example.com,2026-03-01 18:53:14
131,Customer 131,customer131@example.com,2026-03-01 19:02:02
132,Customer 132,customer132@example.com,2026-03-01 19:10:49
133,Customer 133,customer133@example.com,2026-03-01 19:19:36
134,Customer 134,customer134@example.com,2026-03-01 19:28:23
135,Customer 135,customer135@example.com,2026-03-01 19:37:10
136,Customer 136,customer136@example.com,2026-03-01 19:45:57
137,Customer 137,customer137@example.com,2026-03-01 19:54:44
138,Customer 138,customer138@example.com,2026-03-01 20:03:31
139,Customer 139,customer139@example.com,2026-03-01 20:12:18
140,Customer 140,customer140@example.com,2026-03-01 20:21:05
141,Customer 141,customer141@example.com,2026-03-01 20:29:52
142,Customer 142,customer142@example.com,2026-03-01 20:38:40
143,Customer 143,customer143@example.com,2026-03-01 20:47:27
144,Customer 144,customer144@example.com,2026-03-01 20:56:14
145,Customer 145,customer145@example.com,2026-03-01 21:05:01
146,Customer 146,customer146@example.com,2026-03-01 21:13:48
147,Customer 147,customer147@example.com,2026-03-01 21:22:35
148,Customer 148,customer148@example.com,2026-03-01 21:31:22
149,Customer 149,customer149@example.com,2026-03-01 21:40:09
150,Customer 150,customer150@example.com,2026-03-01 21:48:56
151,Customer 151,customer151@example.com,2026-03-01 21:57:43
152,Customer 152,customer152@example.com,2026-03-01 22:06:30
153,Customer 153,customer153@example.com,2026-03-01 22:15:18
154,Customer 154,customer154@example.com,2026-03-01 22:24:05
155,Customer 155,customer155@example.com,2026-03-01 22:32:52
156,Customer 156,customer156@example.com,2026-03-01 22:41:39
157,Customer 157,customer157@example.com,2026-03-01 22:50:26
158,Customer 158,customer158@example.com,2026-03-01 22:59:13
159,Customer 159,customer159@example.com,2026-03-01 23:08:00
160,Customer 160,customer160@example.com,2026-03-01 23:16:47
161,Customer 161,customer161@example.com,2026-03-01 23:25:34
162,Customer 162,customer162@example.com,2026-03-01 23:34:21
163,Customer 163,customer163@example.com,2026-03-01 23:43:09
164,Customer 164,customer164@example.com,2026-03-01 23:51:56
165,Customer 165,customer165@example.com,2026-03-02 00:00:43
166,Customer 166,customer166@example.com,2026-03-02 00:09:30
167,Customer 167,customer167@example.com,2026-03-02 00:18:17
168,Customer 168,customer168@example.com,2026-03-02 00:27:04
169,Customer 169,customer169@example.com,2026-03-02 00:35:51
170,Customer 170,customer170@example.com,2026-03-02 00:44:38
171,Customer 171,customer171@example.com,2026-03-02 00:53:25
172,Customer 172,customer172@example.com,2026-03-02 01:02:12
173,Customer 173,customer173@example.com,2026-03-02 01:10:59
174,Customer 174,customer174@example.com,2026-03-02 01:19:47
175,Customer 175,customer175@example.com,2026-03-02 01:28:34
176,Customer 176,customer176@example.com,2026-03-02 01:37:21
177,Customer 177,customer177@example.com,2026-03-02 01:46:08
178,Customer 178,customer178@example.com,2026-03-02 01:54:55
179,Customer 179,customer179@example.com,2026-03-02 02:03:42
180,Customer 180,customer180@example.com,2026-03-02 02:12:29
181,Customer 181,customer181@example.com,2026-03-02 02:21:16
182,Customer 182,customer182@example.com,2026-03-02 02:30:03
183,Customer 183,customer183@example.com,2026-03-02 02:38:50
184,Customer 184,customer184@example.com,2026-03-02 02:47:37
185,Customer 185,customer185@example.com,2026-03-02 02:56:25
186,Customer 186,customer186@example.com,2026-03-02 03:05:12
187,Customer 187,customer187@example.com,2026-03-02 03:13:59
188,Customer 188,customer188@example.com,2026-03-02 03:22:46
189,Customer 189,customer189@example.com,2026-03-02 03:31:33
190,Customer 190,customer190@example.com,2026-03-02 03:40:20
191,Customer 191,customer191@example.com,2026-03-02 03:49:07
192,Customer 192,customer192@example.com,2026-03-02 03:57:54
193,Customer 193,customer193@example.com,2026-03-02 04:06:41
194,Customer 194,customer194@example.com,2026-03-02 04:15:28
195,Customer 195,customer195@example.com,2026-03-02 04:24:15
196,Customer 196,customer196@example.com,2026-03-02 04:33:03
197,Customer 197,customer197@example.com,2026-03-02 04:41:50
198,Customer 198,customer198@example.com,2026-03-02 04:50:37
199,Customer 199,customer199@example.com,2026-03-02 04:59:24
200,Customer 200,customer200@example.com,2026-03-02 05:08:11
201,Customer 201,customer201@example.com,2026-03-02 05:16:58
202,Customer 202,customer202@example.com,2026-03-02 05:25:45
203,Customer 203,customer203@example.com,2026-03-02 05:34:32
204,Customer 204,customer204@example.com,2026-03-02 05:43:19
205,Customer 205,customer205@example.com,2026-03-02 05:52:06
206,Customer 206,customer206@example.com,2026-03-02 06:00:53
207,Customer 207,customer207@example.com,2026-03-02 06:09:41
208,Customer 208,customer208@example.com,2026-03-02 06:18:28
209,Customer 209,customer209@example.com,2026-03-02 06:27:15
210,Customer 210,customer210@example.com,2026-03-02 06:36:02
211,Customer 211,customer211@example.com,2026-03-02 06:44:49
212,Customer 212,customer212@example.com,2026-03-02 06:53:36
213,Customer 213,customer213@example.com,2026-03-02 07:02:23
214,Customer 214,customer214@example.com,2026-03-02 07:11:10
215,Customer 215,customer215@example.com,2026-03-02 07:19:57
216,Customer 216,customer216@example.com,2026-03-02 07:28:44
217,Customer 217,customer217@example.com,2026-03-02 07:37:32
218,Customer 218,customer218@example.com,2026-03-02 07:46:19
219,Customer 219,customer219@example.com,2026-03-02 07:55:06
220,Customer 220,customer220@example.com,2026-03-02 08:03:53
221,Customer 221,customer221@example.com,2026-03-02 08:12:40
222,Customer 222,customer222@example.com,2026-03-02 08:21:27
223,Customer 223,customer223@example.com,2026-03-02 08:30:14
224,Customer 224,customer224@example.com,2026-03-02 08:39:01
225,Customer 225,customer225@example.com,2026-03-02 08:47:48
226,Customer 226,customer226@example.com,2026-03-02 08:56:35
227,Customer 227,customer227@example.com,2026-03-02 09:05:22
